site,url,status,x-frame-options,frame-ancestors,notes
"finance.yahoo.com",500,"SAMEORIGIN","'self' https://www.aol.com https://www.aol.co.uk https://www.aol.de https://www.aol.ca https://*.ouryahoo.com https://local.cm.yahoo.com https://cm-ui.staging.yahoo.com https://cm-ui.yahoo.com",""
"plos.org",403,"SAMEORIGIN","",""
"timeweb.ru",200,"SAMEORIGIN","'self' *.jivosite.com *.jivosite.com/ *.webim.ru *.webim.ru/ bam.nr-data.net/ metrika.yandex.ru *.yandex.tld *.yandex.net webvisor.com *.webvisor.com http://*.webvisor.com http://webvisor.com https://*.webvisor.com http://webvisor.com https://metrika.yandex.ru https://mc.yandex.ru https://*.yandex.net https://mc.yandex.ru https://mc.yandex.az https://mc.yandex.by https://mc.yandex.co.il https://mc.yandex.com https://mc.yandex.com.am https://mc.yandex.com.ge https://mc.yandex.com.tr https://mc.yandex.ee https://mc.yandex.fr https://mc.yandex.kg https://mc.yandex.kz https://mc.yandex.lt https://mc.yandex.lv https://mc.yandex.md https://mc.yandex.tj https://mc.yandex.tm https://mc.yandex.ua https://mc.yandex.uz https://mc.webvisor.com https://mc.webvisor.org https://yastatic.net",""
"foxnews.com",200,"","",""
"java.com",200,"","",""
"focus.de",200,"","",""
"bbc.com",200,"SAMEORIGIN","",""
"sapo.pt",200,"SAMEORIGIN","",""
"usatoday.com",200,"deny","'none'",""
"nypost.com",200,"SAMEORIGIN","nypost.com decider.com pagesix.com *.nypost.com *.decider.com *.pagesix.com *.thesun.co.uk *.the-sun.com *.thescottishsun.co.uk *.thesun.ie *.staging-thesun.co.uk *.staging-the-sun.com *.staging-thescottishsun.co.uk *.staging-thesun.ie au-script.dotmetrics.net",""
"mashable.com",200,"","","'self' https://*.mashable.com https://*.ampproject.org https://*.zdbb.net https://*.disqus.com https://widgets.ign.com"
"ssl-images-amazon.com",ERR,"","","TypeError: fetch failed"
"youtube.com",200,"SAMEORIGIN","",""
"themeforest.net",200,"SAMEORIGIN","",""
"opera.com",403,"SAMEORIGIN","'self' https://*.opera.com",""
"abcnews.go.com",200,"","",""
"pinterest.com",200,"SAMEORIGIN","'self' , script-src 'self' blob: 'unsafe-inline' *.pinimg.com *.pinterest.com *.adyen.com js.dlocal.com js-sandbox.dlocal.com static-sandbox.dlocal.com static.dlocal.com *.adyenpayments.com 'report-sample' *.google.com connect.facebook.net *.google-analytics.com *.facebook.com *.googleadservices.com *.doubleclick.net *.googletagmanager.com radar.cedexis.com *.cedexis-test.com www.gstatic.com/recaptcha/ www.gstatic.cn/recaptcha/ www.recaptcha.net https://pinterest-api.arkoselabs.com/ api.sardine.ai api.sandbox.sardine.ai 'wasm-unsafe-eval' js.basistheory.com 3ds.basistheory.com",""
"ggpht.com",ERR,"","","TypeError: fetch failed"
